family_id,variant_id,note,mode,train_corr,train_pass,test_corr,test_pass,full_CAGR,full_Sharpe,full_MDD,full_cost,cost_pct,n_trades
10,exdiv_m5p5,VIABLE,event_div,0.7805576658716703,False,,False,-0.22801257213531734,-1.9024967057207796,-0.695464833864653,26652919.502132766,0.9077863422789121,1212
10,exdiv_m1p1,VIABLE,event_div,0.46807547506941366,False,,False,-0.2758600518772605,-2.8885645956952413,-0.7675947311659519,38194601.6261627,1.4928409851238493,1265
10,exdiv_p0p5,VIABLE,event_div,0.5526703703598989,False,,False,-0.2857391298575436,-2.831726337304785,-0.784031381818737,39190783.41289052,1.4230233904824368,1170
11,tom_l1_f3,VIABLE,calendar_tom,0.609753532114313,False,,False,-0.12464067993779648,-1.0170421440504769,-0.4930092650600692,13221179.026375994,0.3906679127317526,1909
11,tom_l2_f4,VIABLE,calendar_tom,0.36918616546184985,False,,False,-0.08341630342861661,-0.5317931186484991,-0.4059995031568873,17922097.6469404,0.4742754131300305,2132
11,tom_f3_only,VIABLE,calendar_tom,0.4598094146755056,False,,False,-0.103840361107008,-0.9393321209225698,-0.4356566825006676,12488001.234267125,0.36207586131502234,1744
13,accruals_low,DEGRADED oi-cf proxy,rank,0.74686685918698,False,,False,-0.04532717018434451,-0.08540138935953451,-0.33898738602198003,4350827.638642187,0.11053981812722546,309
13,accruals_low_q20,DEGRADED,rank,0.74686685918698,False,,False,-0.04532717018434451,-0.08540138935953451,-0.33898738602198003,4350827.638642187,0.11053981812722546,309
13,accruals_low_qual,DEGRADED,rank,0.80060034757503,False,,False,-0.010478571982772578,0.056222731578553745,-0.3314318926120402,4631404.013154187,0.11161879245550525,345
14,asset_growth_low,VIABLE,rank,0.8165189559366377,False,,False,-0.014444328018816566,0.04745832798035739,-0.34602985153613514,4004769.034736896,0.09144006338697075,225
14,asset_growth_low_q20,VIABLE,rank,0.8165189559366377,False,,False,-0.014444328018816566,0.04745832798035739,-0.34602985153613514,4004769.034736896,0.09144006338697075,225
14,asset_growth_low_qual,VIABLE,rank,0.8352575492325724,False,,False,0.004961828083923425,0.11790168375494096,-0.26404720811829296,4435126.027148524,0.10159383364870764,287
15,issuance_low,VIABLE,rank,0.8659645495943712,False,,False,0.009542233892422036,0.1454043044944574,-0.31468712924141334,3637228.525980838,0.08503216464265952,241
