Date,Total_Equity
2022-06-29,40305646.09088489
2022-06-30,40113703.726680934
2022-07-01,40014762.654459395
2022-07-05,39860386.75707951
2022-07-06,39750575.191684335
2022-07-07,40491014.67530434
2022-07-08,40742751.57489353
2022-07-11,40275678.36709349
2022-07-12,39965426.81363879
2022-07-13,39861025.97926366
2022-07-14,39795248.12577246
2022-07-15,40181839.2498264
2022-07-18,40140168.93397537
2022-07-19,40949524.42256133
2022-07-20,41343942.54497406
2022-07-21,41473053.589974046
2022-07-22,41064572.20939805
2022-07-25,41133491.816104054
2022-07-26,40893518.75227453
2022-07-27,41663538.54496333
2022-07-28,42006043.19996333
2022-07-29,42572443.484963335
2022-08-01,42597311.76040837
2022-08-02,42877335.747211576
2022-08-03,43232058.45450999
2022-08-04,43288804.70973972
2022-08-05,43194470.17348553
2022-08-08,43059274.21975883
2022-08-09,42288685.92475884
2022-08-10,42950726.99468084
2022-08-11,42822809.67545259
2022-08-12,43302421.84996259
2022-08-15,43488832.1098644
2022-08-16,43355720.4371444
2022-08-17,43059765.976030625
2022-08-18,43550428.58423063
2022-08-19,43155921.37104382
2022-08-22,42519635.54604383
2022-08-23,42741249.93764199
2022-08-24,42904563.87847484
2022-08-25,43450808.457036674
2022-08-26,42465925.16629258
2022-08-29,42239356.15539375
2022-08-30,41971600.83281022
2022-08-31,41735211.40337284
2022-09-01,41311825.42083427
2022-09-02,41000670.809961
2022-09-06,40745014.69076099
2022-09-07,41196147.873687804
2022-09-08,41625602.435044475
2022-09-09,41963133.34144448
2022-09-12,42214226.23664447
2022-09-13,41298864.74624447
2022-09-14,41406108.59126237
2022-09-15,41151834.68560624
2022-09-16,40890316.02416656
2022-09-19,41214754.52788016
2022-09-20,40854018.58817199
2022-09-21,40462197.62419309
2022-09-22,39863153.97862131
2022-09-23,39361107.046911165
2022-09-26,39085378.932254866
2022-09-27,39108515.05388578
2022-09-28,39667894.881528996
2022-09-29,39260529.14363545
2022-09-30,39049790.36043544
2022-10-03,39937539.97723545
2022-10-04,40680228.23876034
2022-10-05,40586048.997360334
2022-10-06,40540239.64999522
2022-10-07,39775450.04814627
2022-10-10,39733099.23793304
2022-10-11,39614781.39321375
2022-10-12,39413967.41554336
2022-10-13,40165383.92871907
2022-10-14,39588093.15326956
2022-10-17,40052399.17255805
2022-10-18,40254735.92035805
2022-10-19,39959208.35745805
2022-10-20,39539498.12765805
2022-10-21,40123936.79734046
2022-10-24,40359932.53363224
2022-10-25,40894957.06463224
2022-10-26,40857608.13783514
2022-10-27,40746777.10683127
2022-10-28,41634852.68883127
2022-10-31,41479060.14578689
2022-11-01,41286438.64738041
2022-11-02,40503616.67485778
2022-11-03,40555774.70528393
2022-11-04,40754893.5684789
2022-11-07,41137420.087591544
2022-11-08,41274195.40770778
2022-11-09,40692214.97153419
2022-11-10,42162167.83986446
2022-11-11,42183278.82826446
2022-11-14,42022756.55313812
2022-11-15,42383145.93469303
2022-11-16,41838574.29429303
2022-11-17,41888495.20842144
2022-11-18,42083032.28358293
2022-11-21,41951476.05058293
2022-11-22,42309589.33654707
2022-11-23,42375585.14274688
2022-11-25,42386823.97574688
2022-11-28,41864469.61874688
2022-11-29,41973614.185233295
2022-11-30,42712139.09857254
2022-12-01,42637811.35957254
2022-12-02,42781218.90397254
2022-12-05,42310555.90857254
2022-12-06,41909337.404480904
2022-12-07,41889350.12182912
2022-12-08,42086371.942377985
2022-12-09,41776077.70307209
2022-12-12,42137036.698271826
2022-12-13,42183585.4124615
2022-12-14,42194320.36156149
2022-12-15,41542937.4389455
2022-12-16,41288678.82306099
2022-12-19,40939382.60420151
2022-12-20,41016960.328815065
2022-12-21,41468026.7146912
2022-12-22,41098542.687869474
2022-12-23,41241023.38254303
2022-12-27,41149800.96945436
2022-12-28,40641524.598754354
2022-12-29,41032483.38438496
2022-12-30,40961507.83325212
2023-01-03,40593679.64375211
2023-01-04,40682416.95495017
2023-01-05,40476611.857548915
2023-01-06,41108620.4232637
2023-01-09,40928271.4990637
2023-01-10,41066613.6540353
2023-01-11,41169004.082523316
2023-01-12,41306589.52445391
2023-01-13,41520539.32420309
2023-01-17,41305064.786703095
2023-01-18,40922103.9836031
2023-01-19,40460576.14788714
2023-01-20,40616861.97862667
2023-01-23,40989561.77697259
2023-01-24,40859017.20797192
2023-01-25,40959521.21127193
2023-01-26,40966927.78362903
2023-01-27,40978816.39252368
2023-01-30,40792797.89799471
2023-01-31,41386086.528040215
2023-02-01,41659910.1416402
2023-02-02,41960040.47338222
2023-02-03,41867992.694649905
2023-02-06,41605363.8634436
2023-02-07,41810615.078021474
2023-02-08,41333579.78636359
2023-02-09,41098429.20727726
2023-02-10,41159631.26170026
2023-02-13,41461581.61125748
2023-02-14,41324769.005421795
2023-02-15,41586970.15472178
2023-02-16,41177412.96665411
2023-02-17,41055004.505485326
2023-02-21,40466944.71555238
2023-02-22,40472683.13915238
2023-02-23,40656017.395842366
2023-02-24,40415091.58075557
2023-02-27,40523915.78241238
2023-02-28,40430974.41472516
2023-03-01,40490966.98472516
2023-03-02,40480441.74391145
2023-03-03,40703923.130135566
2023-03-06,40512624.73306005
2023-03-07,40126329.3334441
2023-03-08,40046070.950154915
2023-03-09,39441309.93468051
2023-03-10,38955518.154175736
2023-03-13,38751956.404566094
2023-03-14,39032476.65116287
2023-03-15,38551307.117465176
2023-03-16,39006181.005328886
2023-03-17,38441297.87880645
2023-03-20,38801582.151262745
2023-03-21,39169440.66493428
2023-03-22,38716961.52253427
2023-03-23,38789308.09853427
2023-03-24,38860819.18183751
2023-03-27,39083978.352833554
2023-03-28,39039376.48569755
2023-03-29,39342791.78890995
2023-03-30,39437947.13890995
2023-03-31,39993322.82530196
2023-04-03,40072262.01530195
2023-04-04,39602991.01750195
2023-04-05,39417324.29930195
2023-04-06,39379799.37263918
2023-04-10,39635080.10448873
2023-04-11,39734037.44654525
2023-04-12,39510440.60254525
2023-04-13,39880409.27536076
2023-04-14,39803172.7487534
2023-04-17,39962553.460927844
2023-04-18,39924417.45678878
2023-04-19,39828097.28821155
2023-04-20,39680018.800011545
2023-04-21,39554237.98437849
2023-04-24,39634960.24522884
2023-04-25,39031908.83452701
2023-04-26,38484449.69187522
2023-04-27,38706665.34206831
2023-04-28,38741714.44968504
2023-05-01,38892511.022138774
2023-05-02,38260086.86998263
2023-05-03,38332580.43111043
2023-05-04,37671385.87527175
2023-05-05,37861920.8031403
2023-05-08,37959171.99758257
2023-05-09,37724570.200582564
2023-05-10,38060433.91165143
2023-05-11,37965012.87870488
2023-05-12,37892107.24370488
2023-05-15,38083082.85850488
2023-05-16,37807187.59652645
2023-05-17,38224185.52545494
2023-05-18,38509771.32145142
2023-05-19,38398151.47054733
2023-05-22,38500159.62848238
2023-05-23,38121166.1374479
2023-05-24,37863357.87594165
2023-05-25,38210543.14522385
2023-05-26,38658023.8478565
2023-05-30,38574419.557359084
2023-05-31,38284908.78602934
2023-06-01,38540852.30383626
2023-06-02,39046968.45763476
2023-06-05,38721496.88763476
2023-06-06,39009784.44308193
2023-06-07,39206239.91084817
2023-06-08,39386055.52084817
2023-06-09,39309062.076648176
2023-06-12,39659686.04244818
2023-06-13,39898112.06084818
2023-06-14,39590131.372448176
2023-06-15,39688665.3885899
2023-06-16,39613617.36940098
2023-06-20,39328524.02360098
2023-06-21,39226916.16313453
2023-06-22,39112554.5836572
2023-06-23,38837276.44962953
2023-06-26,38783427.26325296
2023-06-27,39157218.23825296
2023-06-28,39238553.45616815
2023-06-29,39679137.97266
2023-06-30,39962772.98166
2023-07-03,39874900.01966
2023-07-05,39449793.399660006
2023-07-06,39053775.31666
2023-07-07,39169842.89876606
2023-07-10,39706870.72290505
2023-07-11,40156900.96022193
2023-07-12,40350192.07338787
2023-07-13,40626439.97815419
2023-07-14,40417911.06536346
2023-07-17,40960087.99514748
2023-07-18,41127613.23366656
2023-07-19,41058414.35566656
2023-07-20,40601154.50566656
2023-07-21,40574574.369713336
2023-07-24,40507962.332751386
2023-07-25,40794418.22712551
2023-07-26,40731991.79420158
2023-07-27,40640217.101345584
2023-07-28,41000323.779622845
2023-07-31,41264627.04289576
2023-08-01,40898334.97931468
2023-08-02,40811569.20200814
2023-08-03,40920582.30122132
2023-08-04,40762708.89263281
2023-08-07,40861563.48805771
2023-08-08,40668512.424655095
2023-08-09,40564577.11570719
2023-08-10,40677115.796650216
2023-08-11,40417368.32891235
2023-08-14,40505807.39135997
2023-08-15,40242671.05891447
2023-08-16,39853791.49271872
2023-08-17,39500690.89841809
2023-08-18,39531054.69019063
2023-08-21,39683031.944737226
2023-08-22,39464224.81991079
2023-08-23,39917086.58191079
2023-08-24,39437112.173537105
2023-08-25,39652072.40358469
2023-08-28,39748001.72638468
2023-08-29,40258710.633274145
2023-08-30,40400683.19303832
2023-08-31,40302165.64535785
2023-09-01,40487036.39446533
2023-09-05,39994851.30494853
2023-09-06,39883334.12168904
2023-09-07,39511287.90665106
2023-09-08,39374731.13918172
2023-09-11,39408467.85871602
2023-09-12,39369765.05025895
2023-09-13,39371328.03707027
2023-09-14,39577202.955244616
2023-09-15,39162980.33304461
2023-09-18,39225653.30788291
2023-09-19,39200493.568768434
2023-09-20,38917992.35999292
2023-09-21,38417050.33358628
2023-09-22,38416958.97729619
2023-09-25,38411647.016595006
2023-09-26,38085447.804839596
2023-09-27,38281851.25634808
2023-09-28,38490775.283595145
2023-09-29,38301203.55780198
2023-10-02,38154582.15190198
2023-10-03,37772625.55856918
2023-10-04,38077145.41162584
2023-10-05,38029167.011616506
2023-10-06,38367418.536510974
2023-10-09,38535442.843102194
2023-10-10,38740317.624405496
2023-10-11,38856432.940405495
2023-10-12,38666550.4493055
2023-10-13,38385098.80477325
2023-10-16,38840080.92715004
2023-10-17,39097592.39915003
2023-10-18,38679288.15715004
2023-10-19,38327443.849757455
2023-10-20,37922385.51730853
2023-10-23,37799412.39912593
2023-10-24,37954972.79728472
2023-10-25,37508160.06545535
2023-10-26,37470361.80484937
2023-10-27,37197782.12169087
2023-10-30,37236247.807116136
2023-10-31,37750910.243476674
2023-11-01,37827746.81993714
2023-11-02,38413023.285234645
2023-11-03,39077945.932988636
2023-11-06,38968547.313120976
2023-11-07,39298276.13112098
2023-11-08,39321205.56173369
2023-11-09,38802429.62745121
2023-11-10,39333087.87121912
2023-11-13,39272264.008558445
2023-11-14,40448693.03527877
2023-11-15,40527437.18795764
2023-11-16,40258129.58025764
2023-11-17,40444597.28881979
2023-11-20,40800204.635900915
2023-11-21,40543007.80600092
2023-11-22,40552488.36820092
2023-11-24,40615576.77113541
2023-11-27,40663804.08171143
2023-11-28,40497834.43211143
2023-11-29,40561050.74831143
2023-11-30,40640640.19131142
2023-12-01,41083401.915619135
2023-12-04,41101742.24746807
2023-12-05,40678541.28776807
2023-12-06,40561172.42516407
2023-12-07,40824831.19961062
2023-12-08,40952716.30827375
2023-12-11,41436126.568645746
2023-12-12,41560094.80574575
2023-12-13,42002244.22654575
2023-12-14,42348612.05554575
2023-12-15,42170650.477528885
2023-12-18,42320170.93907992
2023-12-19,42662161.282279916
2023-12-20,42037565.99987992
2023-12-21,42549733.20447992
2023-12-22,42598497.961634494
2023-12-26,42883001.62789105
2023-12-27,42815107.02689105
2023-12-28,42757680.79274482
2023-12-29,42525543.13696146
2024-01-02,42028467.87296146
2024-01-03,41350361.03251596
2024-01-04,41090704.002721176
2024-01-05,41010502.50058532
2024-01-08,41384646.8036219
2024-01-09,41433135.17242005
2024-01-10,41758015.607112944
2024-01-11,41626846.268706314
2024-01-12,41702058.46970632
2024-01-16,41786001.65803091
2024-01-17,41699066.623995535
2024-01-18,42086227.80199553
2024-01-19,42628981.101995535
2024-01-22,43088390.61399554
2024-01-23,42738642.50499553
2024-01-24,42526958.32212716
2024-01-25,42486879.048572324
2024-01-26,42426888.73634931
2024-01-29,42930128.49134931
2024-01-30,42950000.408331305
2024-01-31,42344965.51474731
2024-02-01,42744381.937784314
2024-02-02,42898316.77224828
2024-02-05,42691606.87324828
2024-02-06,42375367.490714215
2024-02-07,42638483.7998012
2024-02-08,43210022.70747121
2024-02-09,43970906.84261712
2024-02-12,44067850.80961712
2024-02-13,43198943.88872841
2024-02-14,43997711.17832179
2024-02-15,43950264.566864796
2024-02-16,43583572.149862826
2024-02-20,43310312.68877725
2024-02-21,42403002.36767726
2024-02-22,43027616.60411792
2024-02-23,42961735.89993793
2024-02-26,43776071.14188292
2024-02-27,44218521.527882926
2024-02-28,44931929.5801804
2024-02-29,45287735.986906625
2024-03-01,45727672.837506615
2024-03-04,46425363.76668593
2024-03-05,44819175.92339139
2024-03-06,45463847.01359875
2024-03-07,46001954.89953536
2024-03-08,45748565.96141906
2024-03-11,45492051.68492684
2024-03-12,45852594.84616673
2024-03-13,45608856.05616672
2024-03-14,45140268.70933513
2024-03-15,44970583.51307343
2024-03-18,44961056.06724456
2024-03-19,44864908.541885935
2024-03-20,45324641.43667261
2024-03-21,45509098.3063797
2024-03-22,45317317.006379694
2024-03-25,45278949.172979705
2024-03-26,45175488.90202437
2024-03-27,45189791.37721061
2024-03-28,45402177.24041061
2024-04-01,45179261.355410606
2024-04-02,44778184.615542606
2024-04-03,44894299.46130417
2024-04-04,44494152.39376743
2024-04-05,44755175.20187403
2024-04-08,44964502.509987384
2024-04-09,44729898.0714876
2024-04-10,44082105.83948759
2024-04-11,44251382.67545217
2024-04-12,43537880.07348516
2024-04-15,42875532.34948517
2024-04-16,42789102.88589443
2024-04-17,42377743.483107194
2024-04-18,42243661.082316235
2024-04-19,41989706.82311304
2024-04-22,42328409.72314185
2024-04-23,42853612.37021866
2024-04-24,42779359.101718664
2024-04-25,42685442.56899468
2024-04-26,43009645.39491217
2024-04-29,42950385.07441217
2024-04-30,42105610.30651217
2024-05-01,42000657.834870964
2024-05-02,42755392.961761795
2024-05-03,43048219.35916181
2024-05-06,43520667.36536181
2024-05-07,43372572.28435381
2024-05-08,43264983.7330458
2024-05-09,43307290.70481923
2024-05-10,43242528.11090384
2024-05-13,43087448.26568384
2024-05-14,43383444.63538614
2024-05-15,43794520.868986145
2024-05-16,43727871.68698615
2024-05-17,43714306.53670971
2024-05-20,44013214.222785324
2024-05-21,43994780.36408532
2024-05-22,43801927.06264435
2024-05-23,43484043.92763816
2024-05-24,43900572.60383315
2024-05-28,43776572.06068227
2024-05-29,43402111.51120837
2024-05-30,43205371.39879274
2024-05-31,43265313.35627164
2024-06-03,43023756.910224214
2024-06-04,42959060.39472421
2024-06-05,43694511.22450107
2024-06-06,43541126.36382201
2024-06-07,43419734.70824116
2024-06-10,43619332.13038114
2024-06-11,43794774.3590926
2024-06-12,44213914.23376212
2024-06-13,43963219.95176212
2024-06-14,43924558.137283266
2024-06-17,44224599.37520237
2024-06-18,44340729.62449675
2024-06-20,43954909.186457425
2024-06-21,43950268.61206658
2024-06-24,43716485.59016183
2024-06-25,43749108.46891932
2024-06-26,43618096.12522337
2024-06-27,43803636.520023376
2024-06-28,43879073.057023376
2024-07-01,43809663.663333565
2024-07-02,43779562.56790871
2024-07-03,43874399.2118699
2024-07-05,43836371.67708858
2024-07-08,43915188.421205655
2024-07-09,43626262.126705654
2024-07-10,43916283.79917043
2024-07-11,44099990.152410574
2024-07-12,44486491.230310574
2024-07-15,45007468.03881057
2024-07-16,45411264.20381057
2024-07-17,44756079.69041305
2024-07-18,44397285.24099619
2024-07-19,44131727.28049026
2024-07-22,44373478.21573253
2024-07-23,44452340.76876553
2024-07-24,43989913.48030934
2024-07-25,44281036.542809345
2024-07-26,44939793.730763234
2024-07-29,44828469.12368901
2024-07-30,44884603.933289014
2024-07-31,45229281.46397002
2024-08-01,44629983.244794205
2024-08-02,43961634.349137366
2024-08-05,43277648.26328009
2024-08-06,43565415.59097101
2024-08-07,43440571.24972493
2024-08-08,44479162.98755893
2024-08-09,44870127.05006894
2024-08-12,44784703.87006894
2024-08-13,45304918.52006894
2024-08-14,45380736.582040936
2024-08-15,45985959.22570066
2024-08-16,46003512.91070067
2024-08-19,46259465.78070067
2024-08-20,46228894.810700655
2024-08-21,46638468.98570066
2024-08-22,46201688.620700665
2024-08-23,46709009.08234951
2024-08-26,46390154.422495075
2024-08-27,46520817.837495066
2024-08-28,46258755.49749507
2024-08-29,46638719.03904608
2024-08-30,46902734.91200607
2024-09-03,45898093.92209406
2024-09-04,45843785.61293665
2024-09-05,45539117.89940182
2024-09-06,44938933.14955497
2024-09-09,45089019.82227689
2024-09-10,45098691.013847716
2024-09-11,45255188.459877454
2024-09-12,45661074.97178213
2024-09-13,45961812.71648213
2024-09-16,46052193.356838495
2024-09-17,46232324.20705199
2024-09-18,46159316.45765199
2024-09-19,46779983.45665199
2024-09-20,46988103.74045199
2024-09-23,46938567.06225199
2024-09-24,46873864.15363614
2024-09-25,46671976.19160026
2024-09-26,46770447.52950902
2024-09-27,46710417.04209563
2024-09-30,46896830.089817695
2024-10-01,46481521.945220836
2024-10-02,46466951.92277039
2024-10-03,46377400.522824064
2024-10-04,46704171.69933737
2024-10-07,46304836.11252834
2024-10-08,46570941.87753637
2024-10-09,46672238.09403919
2024-10-10,46481488.73403919
2024-10-11,47059430.46403919
2024-10-14,47143329.129341885
2024-10-15,47012875.16324231
2024-10-16,47245232.52424231
2024-10-17,47225260.25474267
2024-10-18,47055631.39854044
2024-10-21,46723492.60965181
2024-10-22,46607759.3483849
2024-10-23,46336618.85902849
2024-10-24,46160022.41099061
