Date,Total_Equity
2022-06-27,42177234.75194761
2022-06-28,41436873.65650587
2022-06-29,41041766.81180494
2022-06-30,40665242.58530474
2022-07-01,40698013.0518285
2022-07-05,40764383.7065619
2022-07-06,40578018.509906225
2022-07-07,41388248.550249465
2022-07-08,41481961.245771244
2022-07-11,41106112.097991094
2022-07-12,40874213.16508687
2022-07-13,40818585.095729336
2022-07-14,40716091.1721497
2022-07-15,41218089.39752078
2022-07-18,41286414.108466916
2022-07-19,42211849.20505355
2022-07-20,42678378.32319142
2022-07-21,42755181.7494867
2022-07-22,42471731.0791814
2022-07-25,42542200.64293051
2022-07-26,42376196.40538424
2022-07-27,42934260.773298524
2022-07-28,43150431.795669794
2022-07-29,43504889.56692469
2022-08-01,43557304.70413718
2022-08-02,43686577.31618453
2022-08-03,43986209.69099339
2022-08-04,43973137.447714284
2022-08-05,44170426.5152199
2022-08-08,44353676.85087797
2022-08-09,43582869.139114425
2022-08-10,44307170.730229914
2022-08-11,44188639.80332295
2022-08-12,44554149.25982948
2022-08-15,44637001.428398415
2022-08-16,44499645.75617249
2022-08-17,44143841.55147319
2022-08-18,44470248.36972219
2022-08-19,44115882.04396969
2022-08-22,43743181.94856681
2022-08-23,43920870.70217714
2022-08-24,44083897.13538498
2022-08-25,44699195.85946515
2022-08-26,43601892.0881401
2022-08-29,43394823.81807361
2022-08-30,43106555.69714548
2022-08-31,42868251.8830897
2022-09-01,42495288.301563375
2022-09-02,42272520.116095215
2022-09-06,42038574.211555906
2022-09-07,42527091.28806606
2022-09-08,42628376.85445475
2022-09-09,42881213.74984901
2022-09-12,43085878.48478752
2022-09-13,42257895.59068425
2022-09-14,42328879.77374613
2022-09-15,42078399.20181051
2022-09-16,41844840.1974025
2022-09-19,42080771.76704292
2022-09-20,41642848.51318321
2022-09-21,41291576.828575514
2022-09-22,40880240.62497799
2022-09-23,40535146.99039166
2022-09-26,40334266.81346966
2022-09-27,40321505.75071305
2022-09-28,40922654.33005567
2022-09-29,40535488.049511425
2022-09-30,40357896.08190645
2022-10-03,41095312.05856185
2022-10-04,41979629.08953278
2022-10-05,41803866.415133476
2022-10-06,41702693.17039211
2022-10-07,41002398.854231015
2022-10-10,40925074.30247441
2022-10-11,40833904.73192908
2022-10-12,40647538.87436744
2022-10-13,41272256.24797998
2022-10-14,40804100.460966274
2022-10-17,41258075.69102384
2022-10-18,41213501.66712021
2022-10-19,40900946.16021975
2022-10-20,40667858.99693468
2022-10-21,41145302.96976662
2022-10-24,41255825.35154948
2022-10-25,42030587.66707246
2022-10-26,41965472.52372398
2022-10-27,41877422.95648862
2022-10-28,42618323.286460236
2022-10-31,42384164.68941106
2022-11-01,42295804.35365584
2022-11-02,41775542.110714376
2022-11-03,41749670.67112517
2022-11-04,41981166.23446299
2022-11-07,42304065.7055504
2022-11-08,42358466.93105298
2022-11-09,41416567.32453437
2022-11-10,42896856.4586751
2022-11-11,43011462.94635111
2022-11-14,42763877.007100776
2022-11-15,43105648.400991306
2022-11-16,42343907.00730251
2022-11-17,42306127.37769199
2022-11-18,42399533.06997357
2022-11-21,42156871.84975615
2022-11-22,42596793.66946173
2022-11-23,42619598.17056769
2022-11-25,42600924.02866393
2022-11-28,42178081.74798669
2022-11-29,42222535.46004006
2022-11-30,43013246.184946716
2022-12-01,42940062.208973035
2022-12-02,43064559.33065495
2022-12-05,42730902.01629655
2022-12-06,42192618.28841716
2022-12-07,42065575.8131186
2022-12-08,42309250.93498607
2022-12-09,42058898.43289465
2022-12-12,42367885.3404008
2022-12-13,42488844.06658287
2022-12-14,42384023.930021465
2022-12-15,41827220.73878613
2022-12-16,41717067.46100134
2022-12-19,41383754.42196189
2022-12-20,41476400.42510295
2022-12-21,41864303.85059307
2022-12-22,41549395.44327739
2022-12-23,41662387.81468527
2022-12-27,41552417.18421771
2022-12-28,41179849.81089753
2022-12-29,41767861.36495605
2022-12-30,41741113.00087878
2023-01-03,41534008.78946504
2023-01-04,41887584.474288985
2023-01-05,41418969.01158743
2023-01-06,42015722.60619228
2023-01-09,42050420.69340498
2023-01-10,42220433.416988656
2023-01-11,42466560.44665293
2023-01-12,42656748.6025539
2023-01-13,42659870.19156904
2023-01-17,42514399.18367097
2023-01-18,42162234.892564334
2023-01-19,41901921.45779711
2023-01-20,42103775.31409985
2023-01-23,42496452.37222786
2023-01-24,42352773.550803736
2023-01-25,42439454.94398223
2023-01-26,42503250.90947318
2023-01-27,42471287.88567066
2023-01-30,42326529.05929136
2023-01-31,42909369.85041721
2023-02-01,43321240.871384725
2023-02-02,43615681.116703846
2023-02-03,43359621.91582671
2023-02-06,43143803.83070959
2023-02-07,43463275.920056395
2023-02-08,43014374.382075936
2023-02-09,42746706.790123254
2023-02-10,42797156.443920344
2023-02-13,43057253.98188812
2023-02-14,43054775.693954065
2023-02-15,43313058.98972018
2023-02-16,42913344.29422863
2023-02-17,42817835.899525285
2023-02-21,42205617.22384801
2023-02-22,42263985.00974393
2023-02-23,42488322.72210185
2023-02-24,42179808.90130838
2023-02-27,42205784.03263997
2023-02-28,42271852.48297778
2023-03-01,42300058.39184699
2023-03-02,42236406.30696752
2023-03-03,42585011.70683676
2023-03-06,42253427.46663614
2023-03-07,41813201.40005629
2023-03-08,41809309.70002678
2023-03-09,41181857.66300014
2023-03-10,40777857.82108338
2023-03-13,40636961.877003774
2023-03-14,40660647.78076644
2023-03-15,40164084.40211359
2023-03-16,40501469.159290254
2023-03-17,40043475.82085854
2023-03-20,40226919.58329373
2023-03-21,40623636.76962458
2023-03-22,40207921.889869116
2023-03-23,40200939.18464125
2023-03-24,40283084.54736213
2023-03-27,40807996.62997994
2023-03-28,40832663.193308935
2023-03-29,41148830.57681923
2023-03-30,41170018.21560268
2023-03-31,41637648.73316684
2023-04-03,41636883.88921688
2023-04-04,41115376.09492709
2023-04-05,40927283.409360126
2023-04-06,40966701.62954968
2023-04-10,41186023.45232552
2023-04-11,41238797.9539817
2023-04-12,41000353.29636213
2023-04-13,41362377.37195453
2023-04-14,41190525.64348209
2023-04-17,41423984.99522017
2023-04-18,41237177.9337755
2023-04-19,41197654.62999478
2023-04-20,41005543.415035345
2023-04-21,40910847.78218238
2023-04-24,40920075.38880677
2023-04-25,40342511.23606731
2023-04-26,39895242.20065957
2023-04-27,40119441.400217295
2023-04-28,40270893.26260029
2023-05-01,40301599.69048805
2023-05-02,39682474.22854507
2023-05-03,39659197.001155645
2023-05-04,39212031.99884774
2023-05-05,39619247.77105913
2023-05-08,39634578.54378343
2023-05-09,39468173.628642544
2023-05-10,39761808.08652873
2023-05-11,39629901.960708916
2023-05-12,39582006.16446966
2023-05-15,39758349.15442937
2023-05-16,39410040.57354653
2023-05-17,39777320.76599576
2023-05-18,39973561.33002197
2023-05-19,39850069.03011395
2023-05-22,39959488.12100928
2023-05-23,39709270.53079362
2023-05-24,39542142.48540973
2023-05-25,39684986.19280229
2023-05-26,39970456.20684631
2023-05-30,39928932.812651396
2023-05-31,39715522.51637071
2023-06-01,39872915.381945625
2023-06-02,40270954.99943865
2023-06-05,40099825.91013688
2023-06-06,40390499.00346087
2023-06-07,40601001.57152785
2023-06-08,40700600.09814482
2023-06-09,40616708.42975365
2023-06-12,40894298.89852733
2023-06-13,41097266.435747966
2023-06-14,40874496.90605707
2023-06-15,40987395.13337593
2023-06-16,40872109.1780198
2023-06-20,40653460.66190986
2023-06-21,40485211.085681185
2023-06-22,40358110.33079833
2023-06-23,40133419.63911305
2023-06-26,40085255.11350079
2023-06-27,40290908.11288765
2023-06-28,40357075.81512763
2023-06-29,40639499.121604696
2023-06-30,40792378.174035996
2023-07-03,40804419.8835915
2023-07-05,40449413.32824527
2023-07-06,40113216.92218791
2023-07-07,40246578.5511899
2023-07-10,40606076.42027851
2023-07-11,41049163.96481183
2023-07-12,41169378.812371865
2023-07-13,41305299.17070306
2023-07-14,41153469.615704775
2023-07-17,41440415.08274995
2023-07-18,41524121.03110017
2023-07-19,41616527.981977165
2023-07-20,41353471.696184576
2023-07-21,41357709.15933038
2023-07-24,41324874.49283633
2023-07-25,41467227.93371341
2023-07-26,41394773.11655313
2023-07-27,41281025.80664864
2023-07-28,41615923.64710667
2023-07-31,41912704.1754259
2023-08-01,41462027.857655324
2023-08-02,41298240.90519749
2023-08-03,41334045.951688275
2023-08-04,41159223.347840115
2023-08-07,41269956.76379542
2023-08-08,41059640.75239179
2023-08-09,40921256.68970892
2023-08-10,40866497.14221006
2023-08-11,40554450.07086538
2023-08-14,40558307.70969333
2023-08-15,40210953.81227125
2023-08-16,39880497.09649597
2023-08-17,39625757.803695366
2023-08-18,39671366.82199445
2023-08-21,39785973.26967099
2023-08-22,39550372.75633679
2023-08-23,39788204.44287409
2023-08-24,39548427.100955516
2023-08-25,39736067.790364504
2023-08-28,39809514.20517984
2023-08-29,40175917.29986867
2023-08-30,40187600.06047894
2023-08-31,40121429.129546225
2023-09-01,40303797.6003984
2023-09-05,39986417.07021882
2023-09-06,39800927.79481708
2023-09-07,39476292.50778848
2023-09-08,39368237.44280509
2023-09-11,39441523.78391233
2023-09-12,39441207.38509909
2023-09-13,39390237.09282601
2023-09-14,39625435.701571
2023-09-15,39354111.07473597
2023-09-18,39401835.46487354
2023-09-19,39322256.076887175
2023-09-20,39041251.15004185
2023-09-21,38599438.04777259
2023-09-22,38589293.706431024
2023-09-25,38661699.72449333
2023-09-26,38357290.79205862
2023-09-27,38544094.91911222
2023-09-28,38788627.87595314
2023-09-29,38715273.91604442
2023-10-02,38605167.52741954
2023-10-03,38189446.40888414
2023-10-04,38433603.844150186
2023-10-05,38402107.638050646
2023-10-06,38656368.247068234
2023-10-09,38808329.57876091
2023-10-10,39083571.4325227
2023-10-11,39090141.69086909
2023-10-12,38820659.922508836
2023-10-13,38581157.55429959
2023-10-16,38977734.89888337
2023-10-17,39281970.38898189
2023-10-18,38830500.014863506
2023-10-19,38567214.75305559
2023-10-20,38214519.587771684
2023-10-23,38099029.110437915
2023-10-24,38142659.594821
2023-10-25,37746298.97847949
2023-10-26,37770351.32843992
2023-10-27,37477285.587911904
2023-10-30,37433816.86738905
2023-10-31,37831316.672674894
2023-11-01,37814508.255582705
2023-11-02,38184609.008040026
2023-11-03,38772244.763387136
2023-11-06,38673320.50622858
2023-11-07,39056994.521361224
2023-11-08,39026762.26535721
2023-11-09,38534194.44727369
2023-11-10,39103705.57454418
2023-11-13,39067859.35325225
2023-11-14,40449463.50312905
2023-11-15,40497004.032448635
2023-11-16,40213007.45642134
2023-11-17,40424913.83288607
2023-11-20,40688699.2513251
2023-11-21,40460758.80922775
2023-11-22,40490729.9667511
2023-11-24,40555656.94891377
2023-11-27,40539622.253240064
2023-11-28,40466722.36234951
2023-11-29,40558615.84633486
2023-11-30,40637116.06329841
2023-12-01,41099194.132386714
2023-12-04,41182353.5087709
2023-12-05,40790439.82107447
2023-12-06,40744034.05733378
2023-12-07,40968873.12306313
2023-12-08,41061915.325486116
2023-12-11,41420296.66050186
2023-12-12,41393909.70717093
2023-12-13,41777916.17898145
2023-12-14,42113668.52824682
2023-12-15,41977042.713254675
2023-12-18,42081018.54222497
2023-12-19,42459467.990660176
2023-12-20,41965222.39309542
2023-12-21,42373504.35757446
2023-12-22,42412814.37958364
2023-12-26,42611012.53468484
2023-12-27,42546078.701956615
2023-12-28,42480041.102699
2023-12-29,42330118.07349792
2024-01-02,42033370.84159881
2024-01-03,41466846.84714194
2024-01-04,41285593.477820165
2024-01-05,41195693.019605815
2024-01-08,41572749.45149784
2024-01-09,41683565.09103226
2024-01-10,41843480.64966182
2024-01-11,41683950.58558416
2024-01-12,41620940.33337035
2024-01-16,41604919.849754594
2024-01-17,41374933.017554075
2024-01-18,41716131.39061962
2024-01-19,42064289.60787131
2024-01-22,42426883.4535535
2024-01-23,42151444.46315122
2024-01-24,41944626.40360595
2024-01-25,41934299.95637061
2024-01-26,41913802.78847529
2024-01-29,42245401.33110103
2024-01-30,42160752.96765362
2024-01-31,41659824.82132665
2024-02-01,41969370.37199852
2024-02-02,42004930.46181233
2024-02-05,41817322.44747592
2024-02-06,41749952.13282159
2024-02-07,41881197.04924926
2024-02-08,42298037.61734201
2024-02-09,42801267.46977053
2024-02-12,42884409.94824009
2024-02-13,42281278.993552774
2024-02-14,42746483.985196844
2024-02-15,42758107.77373904
2024-02-16,42502950.53600477
2024-02-20,42321006.821514875
2024-02-21,41898841.71299271
2024-02-22,42257099.19409761
2024-02-23,42264982.05548191
2024-02-26,42784650.89109948
2024-02-27,43046817.05651929
2024-02-28,43645658.91487941
2024-02-29,43877750.33476953
2024-03-01,44232395.93252885
2024-03-04,44385666.71538486
2024-03-05,43367349.09340021
2024-03-06,43702608.11046138
2024-03-07,44064947.233077765
2024-03-08,43897837.97583014
2024-03-11,43790830.91662549
2024-03-12,43928358.607286885
2024-03-13,43778166.032370314
2024-03-14,43371978.96739015
2024-03-15,43334659.20137033
2024-03-18,43349034.23105286
2024-03-19,43325200.293667495
2024-03-20,43594752.3544341
2024-03-21,43738195.2826875
2024-03-22,43617683.01227476
2024-03-25,43523728.733432844
2024-03-26,43422577.415285304
2024-03-27,43571060.08756165
2024-03-28,43700246.538639575
2024-04-01,43585311.43379451
2024-04-02,43237118.664570816
2024-04-03,43364011.11917031
2024-04-04,43078015.027054474
2024-04-05,43308429.56879784
2024-04-08,43432340.57134226
2024-04-09,43334558.531451054
2024-04-10,42680369.073005006
2024-04-11,42866976.056847185
2024-04-12,42332348.73457581
2024-04-15,41849685.95048839
2024-04-16,41796236.54490951
2024-04-17,41484980.11927985
2024-04-18,41421752.62646151
2024-04-19,41331235.928571865
2024-04-22,41610947.440288536
2024-04-23,42094170.37711561
2024-04-24,42087816.76591736
2024-04-25,42023222.409247726
2024-04-26,42253494.76410823
2024-04-29,42222246.34819959
2024-04-30,41495244.43334249
2024-05-01,41335321.295976415
2024-05-02,41959381.51265174
