Date,Total_Equity
2022-08-18,45292508.386852704
2022-08-19,44981096.3368527
2022-08-22,44884435.20044577
2022-08-23,45015766.93558041
2022-08-24,45177991.25600608
2022-08-25,45863410.10140607
2022-08-26,44652244.95640607
2022-08-29,44466151.761406064
2022-08-30,44157379.2019459
2022-08-31,43917813.0960599
2022-09-01,43598583.56605991
2022-09-02,43469857.976059906
2022-09-06,43259626.00605991
2022-09-07,43785921.64161571
2022-09-08,43540525.66531889
2022-09-09,43703113.69061889
2022-09-12,43858078.69591889
2022-09-13,43125149.495620206
2022-09-14,43157623.575720206
2022-09-15,42912004.975461155
2022-09-16,42708753.950761154
2022-09-19,42850470.620761156
2022-09-20,42332588.68594369
2022-09-21,42025315.010802336
2022-09-22,41813486.6179173
2022-09-23,41635217.2129173
2022-09-26,41514016.7063173
2022-09-27,41463415.16661944
2022-09-28,42106583.77285767
2022-09-29,41742062.29285767
2022-09-30,41600060.732857674
2022-10-03,42176293.65285767
2022-10-04,43207129.64486995
2022-10-05,42945816.27160433
2022-10-06,42786524.46160433
2022-10-07,42156755.32160433
2022-10-10,42042763.13160432
2022-10-11,41980578.00919978
2022-10-12,41810112.74485116
2022-10-13,42298874.74485116
2022-10-14,41947585.794851154
2022-10-17,42389085.88485116
2022-10-18,42083913.85180533
2022-10-19,41754453.52456799
2022-10-20,41719254.492727995
2022-10-21,42082059.87272799
2022-10-24,42059694.25272799
2022-10-25,43084961.90961849
2022-10-26,42990748.58437151
2022-10-27,42927061.10997151
2022-10-28,43509981.554371506
2022-10-31,43193871.3331715
2022-11-01,43215921.3170915
2022-11-02,42972167.33342461
2022-11-03,42864703.235824615
2022-11-04,43129341.93013038
2022-11-07,43388786.26253038
2022-11-08,43356788.25279288
2022-11-09,42041186.98808865
2022-11-10,43527520.93281905
2022-11-11,43739622.69281906
2022-11-14,43401702.81281906
2022-11-15,43722883.77871625
2022-11-16,42736280.32229329
2022-11-17,42606823.40102847
2022-11-18,42594070.16102847
2022-11-21,42235894.24432363
2022-11-22,42760028.922484055
2022-11-23,42737550.0602682
2022-11-25,42687625.2202682
2022-11-28,42370309.4502682
2022-11-29,42346905.66138817
2022-11-30,43189690.701388165
2022-12-01,43117939.988040924
2022-12-02,43222943.27804093
2022-12-05,43028827.27804093
2022-12-06,42353536.65473091
2022-12-07,42118611.51773091
2022-12-08,42408740.18321456
2022-12-09,42219749.37321456
2022-12-12,42475259.50321455
2022-12-13,42671106.20852756
2022-12-14,42449741.676155575
2022-12-15,41990240.121155575
2022-12-16,42026142.68115558
2022-12-19,41709984.64115557
2022-12-20,41817592.91472277
2022-12-21,42140467.84210527
2022-12-22,41881686.682105266
2022-12-23,41964522.44210526
2022-12-27,41835919.71676738
2022-12-28,41601698.15720621
2022-12-29,42387231.67396258
2022-12-30,42405288.117962584
2023-01-03,42361334.01726258
2023-01-04,42989969.91041384
2023-01-05,42248836.96571384
2023-01-06,42806588.47297397
2023-01-09,43065569.194973975
2023-01-10,43268001.4122664
2023-01-11,43663211.7642664
2023-01-12,43907588.2682664
2023-01-13,43690689.54811086
2023-01-17,43618809.583110854
2023-01-18,43300088.17778362
2023-01-19,43250715.91978362
2023-01-20,43499373.8695534
2023-01-23,43911442.5955534
2023-01-24,43754590.15202564
2023-01-25,43826525.73402564
2023-01-26,43948930.10524731
2023-01-27,43871324.401247315
2023-01-30,43770158.463247314
2023-01-31,44339936.09679113
2023-02-01,44894339.160691135
2023-02-02,45181171.19971651
2023-02-03,44749650.8147165
2023-02-06,44585359.9397165
2023-02-07,45026319.02567172
2023-02-08,44609986.344344184
2023-02-09,44308619.262452945
