symbol,entry_date,exit_date,holding_days,exit_reason,entry_rank,exit_rank,entry_cmvs,exit_cmvs,entry_rsi,exit_rsi,entry_atr,exit_atr,entry_price,exit_price,peak_return,final_return,forward_return_5d,forward_return_10d,forward_return_20d,post_exit_max_return,post_exit_max_drawdown,days_to_peak,days_to_trough,missed_upside,saved_drawdown
AMZN,2019-02-04,2019-02-05,1,ema9_break,7,7,0.28244169230459115,0.28244169230459115,50.32228313687464,52.819784633331494,2.8687144709728147,2.7773777230461856,81.15,82.17,0.006407886629697934,0.012569316081330717,-0.003285870755750264,-0.012900085189241794,0.015577461360593903,0.032128514056224855,-0.03358890105878065,18,3,0.032128514056224855,0.03358890105878065
COST,2019-02-04,2019-02-05,1,ema9_break,8,8,0.25463822649609463,0.25463822649609463,50.48212286365297,51.25996855239767,4.233739840922558,4.137044137999521,210.7,211.49,0.0022781205505459923,0.003749406739440131,0.0019386259397606853,0.02657336044257419,0.036597475057922324,0.03938720506879756,-0.01768405125537853,19,3,0.03938720506879756,0.01768405125537853
GOOGL,2019-02-04,2019-02-08,4,ema9_break,4,4,0.30482082579507375,0.30482082579507375,63.0982388867215,51.91291936756224,1.3416696008881597,1.329590937915627,55.95,54.74,0.0293118856121537,-0.021626452189454914,0.022652539276580175,0.020643039824625342,0.07709170624771655,0.07709170624771655,0.006759225429302074,20,1,0.07709170624771655,-0.006759225429302074
MSFT,2019-02-04,2019-02-08,4,ema9_break,11,11,0.1597397726648268,0.1597397726648268,52.45219766722702,51.756189646535475,2.7283608441309397,2.444009372897328,102.87,104.39,0.042286380869057894,0.01477593078642947,0.03668933805920105,0.0689721237666443,0.08085065619312193,0.08085065619312193,0.008238337005460394,20,1,0.08085065619312193,-0.008238337005460394
TSLA,2019-02-04,2019-02-08,4,ema9_break,9,9,0.22220372546664463,0.22220372546664463,47.65493921559129,44.4249579624584,0.992425002490872,0.9183124348225168,20.87,20.46,0.026353617632965953,-0.01964542405366554,0.003421309872922773,-0.02639296187683282,-0.05229716520039107,0.04252199413489732,-0.0997067448680351,13,17,0.04252199413489732,0.0997067448680351
NVDA,2019-02-04,2019-02-12,8,ema9_break,10,10,0.2168252982603086,0.2168252982603086,51.864817148031086,53.173109521093096,0.20991220528747112,0.18083317241479602,3.63,3.7,0.05509641873278248,0.019283746556473913,0.07027027027027022,0.05135135135135127,0.14054054054054044,0.14054054054054044,0.008108108108108025,20,16,0.14054054054054044,-0.008108108108108025
META,2019-02-04,2019-02-14,10,ema9_break,1,1,0.5301659864110307,0.5301659864110307,72.57906681454972,61.34280027234937,5.800183278969217,4.691569048778544,165.7,163.19,0.03295111647555826,-0.01514785757392878,-0.007966174397941117,-0.0055763220785587375,0.017096635823273365,0.06238127336233834,-0.01930265334885717,18,4,0.06238127336233834,0.01930265334885717
PEP,2019-02-04,2019-02-15,11,ema9_break,5,5,0.29779185667157576,0.29779185667157576,59.3837003897041,65.58463361035396,1.9687715378304955,1.8695645063650304,112.21,115.85,0.017021655823901805,0.032439176543979986,0.0018126888217522286,0.0027621924902891948,0.01225722917565819,0.01225722917565819,-0.005351747949935204,20,14,0.01225722917565819,0.005351747949935204
NFLX,2019-02-04,2019-03-01,25,ema9_break,3,3,0.32681368468210187,0.32681368468210187,64.96154524535501,56.91029327809916,1.3247921527033293,1.0286422563865767,34.26,36.23,0.06538237011091663,0.05750145942790419,-0.03505382279878544,-0.002208114821970697,-0.01573281810654159,0.043058239028429535,-0.03505382279878544,14,5,0.043058239028429535,0.03505382279878544
ADBE,2019-02-04,2019-03-05,29,ema9_break,6,3,0.28604817936213556,0.37712082462610347,64.01173166494806,54.27942657668493,6.969417304801393,5.594142185984151,248.56,259.0,0.07298036691342125,0.04200193112327,0.017413127413127283,0.005482625482625458,0.04768339768339769,0.05084942084942101,-0.016447876447876375,19,3,0.05084942084942101,0.016447876447876375
